id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,market_cap_mm
crypto-journey,daddy,Crypto Journey,https://coin-images.coingecko.com/coins/images/38388/large/_daddy_%282%29.png?1717417360,0.336036,0.0,,336036.0,4844.04,0.343274,0.305665,-0.005127733579746997,-1.50301,0.0,0.0,0.0,1000000.0,1000000.0,8.35,-96.00912,2024-06-14T04:09:37.994Z,0.128189,160.10657,2024-10-23T22:27:26.053Z,,2024-11-15T13:10:16.201Z,0.336036
baby-brett-on-base,bbrett,Baby Brett on Base,https://coin-images.coingecko.com/coins/images/38887/large/200x200.png?1719380024,0.00723288,0.0,,718643.0,18428.0,0.0074518,0.0071393,8.724e-05,1.22082,0.0,0.0,0.0,100000000.0,100000000.0,0.03288803,-78.1938,2024-06-27T17:30:39.620Z,0.00183441,290.94992,2024-08-05T19:21:18.588Z,,2024-11-15T13:24:36.616Z,0.718643
aped-3,aped,Aped,https://coin-images.coingecko.com/coins/images/37802/large/aped.jpeg?1715590971,0.00394406,0.0,,394406.0,3713.14,0.00415433,0.00386622,-0.00018646997590769,-4.51443,0.0,0.0,0.0,100000000.0,100000000.0,0.01933036,-79.57539,2024-10-15T06:04:04.444Z,0.00273812,44.19209,2024-09-12T08:23:13.393Z,,2024-11-15T13:23:25.423Z,0.394406
coding-dino,dino,Coding Dino,https://coin-images.coingecko.com/coins/images/36637/large/dino_icon_copy.png?1712029544,5.829e-05,0.0,,582864.0,596924.0,5.985e-05,5.672e-05,-1.490053083473e-06,-2.49271,0.0,0.0,0.0,10000000000.0,20000000000.0,0.00093491,-93.78117,2024-04-02T07:52:53.562Z,4.7e-05,23.70533,2024-11-04T22:02:37.331Z,,2024-11-15T13:24:09.630Z,0.582864
chuck,chuck,Chuck,https://coin-images.coingecko.com/coins/images/37468/large/1000030138.jpg?1714457112,0.00514787,0.0,,4967692.0,298594.0,0.00507495,0.00263255,0.00238056,86.02456,0.0,0.0,0.0,964999999.0,964999999.0,0.03322613,-84.50657,2024-05-10T06:20:34.936Z,0.00160808,220.12599,2024-10-13T06:01:50.160Z,,2024-11-15T12:57:58.350Z,4.967692
betterbelong,long,LONG,https://coin-images.coingecko.com/coins/images/36888/large/coin9.png?1712652624,190.18,0.0,,1899131.0,351.21,195.5,181.44,-5.0538882851079165,-2.58859,0.0,0.0,0.0,10000.0,10000.0,2147.75,-91.17024,2024-04-12T10:17:25.978Z,146.4,29.53937,2024-11-04T21:51:18.483Z,,2024-11-15T13:24:28.270Z,1.899131
boe,boe,Boe,https://coin-images.coingecko.com/coins/images/36712/large/79jlrE4M_400x400_%282%29.jpg?1712127456,0.00011107,0.0,,111074.0,2045.5,0.0001124,0.00010587,-1.120841226686e-06,-0.99902,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00390635,-97.20494,2024-05-09T08:48:25.445Z,3.326e-05,228.27758,2024-04-21T09:45:05.840Z,,2024-11-15T13:20:39.381Z,0.111074
treeplanting,tree,/treeplanting,https://coin-images.coingecko.com/coins/images/38145/large/esdotge_phi_logo_dark.jpeg?1720993602,3.455e-05,0.0,,34586.0,26.68,3.631e-05,3.365e-05,-1.733765346338e-06,-4.77868,0.0,0.0,0.0,1000000000.0,,0.00015634,-77.90972,2024-07-24T02:25:23.843Z,1.224e-05,182.07343,2024-07-05T05:01:26.785Z,,2024-11-15T13:23:49.015Z,0.034586
united-base-postal,ubps,United Base Postal,https://coin-images.coingecko.com/coins/images/37638/large/Logo-2-Dex-Tools.png?1715105556,0.00025601,0.0,,25601.0,1338.2,0.00031715,0.00024338,-6.0526512279124e-05,-19.12121,0.0,0.0,0.0,100000000.0,100000000.0,0.01447609,-98.23146,2024-05-21T17:43:56.563Z,8.696e-05,194.41124,2024-08-19T11:46:14.258Z,,2024-11-15T13:07:45.397Z,0.025601
buttman,butt,Buttman,https://coin-images.coingecko.com/coins/images/36326/large/kqDFdKtJ_400x400.jpeg?1711097504,0.00023516,0.0,,235156.0,3999.8,0.00025735,0.00023407,-2.1471803461694e-05,-8.36689,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00532792,-95.6049,2024-03-25T00:36:06.715Z,5.709e-05,310.19751,2024-09-16T03:00:49.328Z,,2024-11-15T13:22:15.040Z,0.235156
weirdo,weirdo,Weirdo [OLD],https://coin-images.coingecko.com/coins/images/36290/large/iQ4T0Un__400x400.jpg?1714006579,0.02363527,0.0,,23635.0,375.5,0.02364025,0.02235914,0.00121809,5.43372,0.0,0.0,0.0,1000000.0,,8.82,-99.73212,2024-04-09T00:36:59.709Z,0.01077199,119.41412,2024-09-08T21:26:53.118Z,,2024-11-15T13:06:45.683Z,0.023635
broge,broge,Broge,https://coin-images.coingecko.com/coins/images/36297/large/coingecko-logo.png?1717948949,1.50212e-10,0.0,,103642.0,2052.38,1.50525e-10,1.22608e-10,1.8711e-11,14.22912,0.0,0.0,0.0,690420000000000.0,690420000000000.0,2.412e-09,-93.7697,2024-03-26T06:16:35.218Z,7.474e-11,101.09996,2024-11-04T13:37:37.988Z,,2024-11-15T13:24:58.560Z,0.103642
bird-dog-on-base,birddog,Bird Dog on Base,https://coin-images.coingecko.com/coins/images/38437/large/birddog_logo_sticker_200x200_final_%281%29.png?1719953537,0.00046751,0.0,,467512.0,10259.44,0.00045134,0.00038101,4.592e-05,10.89265,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00540852,-91.65505,2024-06-09T07:03:56.397Z,0.0002018,123.65509,2024-09-13T07:00:44.901Z,,2024-11-15T13:20:37.399Z,0.467512
brett-2-0,brett2.0,Brett 2.0,https://coin-images.coingecko.com/coins/images/37121/large/brett200-modified.png?1713366621,0.00038672,0.0,,386718.0,18174.26,0.00030851,0.00021579,0.00015189,64.68161,0.0,0.0,0.0,1000000000.0,1000000000.0,0.0045983,-91.58998,2024-05-03T21:32:11.502Z,4.496e-05,760.05225,2024-08-28T22:28:47.422Z,,2024-11-15T13:07:42.204Z,0.386718
bolt-on-base,bolt,BOLT on Base,https://coin-images.coingecko.com/coins/images/38449/large/wwwww.png?1717557162,0.00139841,0.0,,1335981.0,110820.0,0.00153796,0.00084768,0.00026297,23.1597,0.0,0.0,0.0,955358260.328856,1000000000.0,0.02438675,-94.17775,2024-06-09T11:05:01.197Z,0.00033723,321.03281,2024-09-04T01:22:33.077Z,,2024-11-15T13:22:10.493Z,1.335981
based-shiba-inu,bshib,Based Shiba Inu,https://coin-images.coingecko.com/coins/images/36092/large/logocg.png?1710478223,5.64e-05,0.0,,563265.0,112682.0,8.885e-05,3.389e-05,-3.1010499077354e-05,-35.4765,0.0,0.0,0.0,10000000000.0,,0.00206227,-97.17849,2024-03-21T03:48:55.296Z,1.688e-05,244.70328,2024-09-06T15:20:43.973Z,,2024-11-15T13:24:26.466Z,0.563265
gamestop-2,gme,GME (Base),https://coin-images.coingecko.com/coins/images/37229/large/gamestop.jpeg?1713780481,0.00587561,0.0,,588294.0,25790.0,0.00751266,0.00541005,-0.001338010211607477,-18.54838,0.0,0.0,0.0,100000000.0,100000000.0,0.063175,-90.6958,2024-06-07T08:10:02.345Z,0.00280187,109.78605,2024-08-05T04:04:27.694Z,,2024-11-15T13:25:00.818Z,0.588294
fungi,fungi,Fungi,https://coin-images.coingecko.com/coins/images/36690/large/image_2024-03-29_20-10-19_%282%29_%283%29.png?1712091884,0.0356275,0.0,,7542732.0,269575.0,0.03844543,0.0322719,0.00062348,1.78117,0.0,0.0,0.0,210000000.0,210000000.0,0.094004,-60.88674,2024-04-05T20:43:38.507Z,0.00188591,1849.61267,2024-08-05T11:45:52.224Z,,2024-11-15T13:24:26.754Z,7.542732
keren,keren,Keren,https://coin-images.coingecko.com/coins/images/37424/large/200200.png?1714377875,0.00019247,0.0,,192848.0,2636.69,0.00020014,0.00017055,-7.665449054789e-06,-3.83008,0.0,0.0,0.0,1000000000.0,1000000000.0,0.00158408,-87.83519,2024-05-26T20:07:43.300Z,2.368e-05,713.69552,2024-09-12T05:54:34.086Z,,2024-11-15T13:22:09.659Z,0.192848
based-usa,usa,Based USA,https://coin-images.coingecko.com/coins/images/37981/large/BASE_USA_200px.png?1716203776,0.00071616,0.0,,689087.0,44375.0,0.0007447,0.00061508,5.552e-05,8.40476,0.0,0.0,0.0,962200759.0,962200757.0,0.01342781,-94.66662,2024-05-22T23:33:32.285Z,0.00025835,177.20105,2024-08-19T11:31:11.448Z,,2024-11-15T13:06:39.400Z,0.689087
law-of-attraction,loa,Law of Attraction,https://coin-images.coingecko.com/coins/images/38008/large/1.png?1716270777,0.00798385,0.0,,798385.0,7738.4,0.00838558,0.00776887,-8.6339330114408e-05,-1.06986,0.0,0.0,0.0,100000000.0,100000000.0,0.145494,-94.55459,2024-05-24T06:09:00.684Z,0.00330512,139.71171,2024-08-07T23:42:26.118Z,,2024-11-15T13:09:24.348Z,0.798385
