symbol,name,current_price,market_cap_rank,total_volume,price_change_percentage_24h,ath,ath_date,market_cap_mm,contract_address,meme,base_ecosystem,cat_themed,base_meme,dog_themed,farcaster_ecosystem,frog_themed,the_boy’s_club,solana_ecosystem,ai_meme,parody_meme,layer_3_(l3),bnb_chain_ecosystem,avalanche_ecosystem,arbitrum_ecosystem,ethereum_ecosystem,shibarium_ecosystem,hybrid_token_standards,solana_meme,politifi,launchpad,fantom_ecosystem,ton_ecosystem,ton_meme,country_themed_meme,polygon_ecosystem,gaming_(gamefi),nft,on_chain_gaming,erc_404,inscriptions,erc20i
condo,CONDO,0.00034865,2371.0,31142.0,4.0389,0.00080347,2024-06-11T01:37:56.930Z,3.486478,0x30d19fb77c3ee5cfa97f73d72c6a1e509fa06aef,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ayb,All Your Base,1.72e-06,2383.0,140371.0,6.92247,5.44e-06,2024-03-30T04:38:55.959Z,3.423146,0x7ed613ab8b2b4c6a781ddc97ea98a666c6437511,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
booshi,Booshi,0.00030619,2481.0,5020.32,-9.9336,0.0005311,2024-10-29T19:40:37.333Z,3.061844,0x7ed613ab8b2b4c6a781ddc97ea98a666c6437511,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bee,BeeBase,1.413e-05,2508.0,1069.26,3.89155,2.371e-05,2024-09-02T16:18:58.357Z,2.966517,0xfd09f108d1728e6b6ed241ccd254775e322f1ed6,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
based,Basedmilio,0.00270612,2585.0,320945.0,52.44645,0.01004687,2024-07-15T19:28:45.818Z,2.708562,0x28e29ec91db66733a94ee8e3b86a6199117baf99,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tn100x,TN100x,0.00102342,2633.0,208281.0,54.38531,0.00583127,2024-05-07T18:57:32.398Z,2.547393,0x5b5dee44552546ecea05edea01dcd7be7aa6144a,1.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timi,This Is My Iguana,0.0026794,2639.0,949640.0,78.44874,0.00860314,2024-07-27T03:05:18.061Z,2.522636,0x9beec80e62aa257ced8b0edd8692f79ee8783777,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beni,Beni,0.00251405,2647.0,254753.0,130.60845,0.00927137,2024-04-21T16:59:09.725Z,2.493127,0x9beec80e62aa257ced8b0edd8692f79ee8783777,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rock,Just a Black Rock on Base,0.00023423,2704.0,225220.0,255.23311,0.0058743,2024-03-29T09:57:55.378Z,2.34162,0xece7b98bd817ee5b1f2f536daf34d0b6af8bb542,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poncho,Poncho,0.231792,2710.0,213601.0,18.68349,1.96,2024-03-26T10:08:50.455Z,2.324003,0xc2fe011c3885277c7f0e7ffd45ff90cadc8ecd12,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,NULL MATRIX,215.9,2814.0,623418.0,28.74018,387.03,2024-10-27T13:10:52.071Z,2.079756,0x0a14ef61afb32e5ca672e021784f71705ac14908,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
$wsb,Agent Zero,0.098282,2815.0,283107.0,198.68215,0.098629,2024-11-16T07:34:41.917Z,2.062246,0x92dc4ab92eb16e781559e612f349916988013d5a,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aether,Aethernet,0.00205567,2816.0,823900.0,110.51783,0.00231531,2024-11-16T07:02:12.851Z,2.058705,0xf3708859c178709d5319ad5405bc81511b72b9e9,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wolf,Landwolf,4.093e-09,2976.0,136064.0,46.21405,2.3732e-08,2024-06-10T03:14:50.920Z,1.722075,0xf3708859c178709d5319ad5405bc81511b72b9e9,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tad,Tadpole,0.00242105,3007.0,155027.0,46.4536,0.00617812,2024-09-02T19:15:42.090Z,1.669252,0x55027a5b06f4340cc4c82dcc74c90ca93dcb173e,1.0,1.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woof,WoofWork.io,0.00019639,3077.0,14422.72,2.81207,0.00420008,2023-02-08T02:15:17.154Z,1.55151,0xb3a9bd4861454ba94931ebff410c3d828525dce2,1.0,1.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flies,MUTATIO,2.43,3189.0,26054.0,15.55297,14.17,2024-04-14T09:08:15.806Z,1.360171,0x8b67f2e56139ca052a7ec49cbcd1aa9c83f2752a,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tyler,Tyler,0.001174,3323.0,87799.0,38.67481,0.00208736,2024-10-20T14:27:49.645Z,1.173466,0x65e570b560027f493f2b1907e8e8e3b9546053bd,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carlo,Carlo,0.00108883,3399.0,141220.0,41.31369,0.02020769,2024-06-12T21:26:23.430Z,1.08883,0x38d513ec43dda20f323f26c7bef74c5cf80b6477,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workie,Workie,0.00097518,3488.0,49711.0,61.6348,0.00249403,2024-06-20T15:46:32.794Z,0.975178,0x7480527815ccae421400da01e052b120cc4255e9,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mork,MORK,0.00094415,3715.0,30950.0,12.754,0.0047536,2024-08-18T03:00:59.425Z,0.750502,0x7480527815ccae421400da01e052b120cc4255e9,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lambow,Based Lambow,0.00073694,3726.0,67826.0,36.60941,0.00244486,2024-06-23T18:00:01.155Z,0.736941,0x4b61e2f1bbdee6d746209a693156952936f1702c,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvp,MAGA VP,0.01572935,3773.0,18266.33,-0.58427,0.709196,2024-05-17T13:06:37.603Z,0.694928,0x58cd93c4a91c3940109fa27d700f5013b18b5dc2,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alf,ALF,6.09e-06,3884.0,103672.0,25.70912,6.33e-05,2024-07-21T17:16:20.889Z,0.609181,0x26f1bb40ea88b46ceb21557dc0ffac7b7c0ad40f,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wgc,Wild Goat Coin,8.754e-05,3886.0,5308.68,-1.46906,0.00011857,2024-10-20T20:00:32.304Z,0.607394,0x26f1bb40ea88b46ceb21557dc0ffac7b7c0ad40f,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gif,goatwifhat,0.00054606,3977.0,150429.0,-45.68533,0.00152864,2024-06-14T09:33:23.359Z,0.54566,0x6b82297c6f1f9c3b1f501450d2ee7c37667ab70d,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
